frame_number,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y,confidence
8,2,bus,624.84,470.59,841.73,776.2,733.28,623.4,0.9475
8,3,car,246.94,583.32,408.54,713.32,327.74,648.32,0.9159
8,4,car,522.45,425.14,625.97,516.88,574.21,471.01,0.8505
8,5,car,535.99,792.89,718.21,1017.45,627.1,905.17,0.9046
8,6,car,1396.23,620.06,1508.57,739.12,1452.4,679.59,0.8336
8,7,car,674.87,364.04,757.76,447.35,716.32,405.7,0.8749
8,8,car,607.35,322.03,679.44,384.58,643.4,353.31,0.8043
8,9,car,574.52,517.48,680.76,632.42,627.64,574.95,0.8451
8,10,car,724.44,279.55,776.61,336.86,750.52,308.21,0.7403
8,11,car,703.83,239.51,760.05,279.41,731.94,259.46,0.7399
8,12,car,784.99,269.49,835.66,318.04,810.33,293.77,0.7944
8,13,car,760.65,203.52,801.98,239.04,781.32,221.28,0.6461
8,14,car,0.0,924.39,103.67,1078.05,51.83,1001.22,0.7965
8,15,truck,1325.84,449.82,1404.4,564.53,1365.12,507.17,0.5799
8,16,motorcycle,939.15,665.26,973.29,731.73,956.22,698.5,0.6017
8,17,car,1321.54,600.75,1379.74,677.92,1350.64,639.33,0.6012
8,19,car,1300.25,548.56,1367.38,617.14,1333.82,582.85,0.5337
8,20,motorcycle,871.24,426.76,896.69,473.62,883.97,450.19,0.5779
8,21,car,1522.97,837.42,1636.53,949.91,1579.75,893.66,0.2933
8,22,car,952.56,295.6,988.83,347.96,970.7,321.78,0.585
8,25,car,845.08,176.72,885.52,206.69,865.3,191.71,0.4945
8,26,car,828.32,223.05,859.42,263.34,843.87,243.19,0.3094
8,27,motorcycle,1218.17,540.86,1243.07,582.47,1230.62,561.66,0.3724
8,28,motorcycle,943.9,451.03,972.9,498.69,958.4,474.86,0.4346
8,29,car,1265.94,468.07,1315.32,515.83,1290.63,491.95,0.3757
8,30,car,807.84,160.71,843.02,193.2,825.43,176.96,0.3728
8,31,car,1278.79,495.72,1327.96,557.71,1303.37,526.71,0.3725
8,32,motorcycle,919.99,241.93,936.29,275.18,928.14,258.55,0.3261
8,33,car,1249.24,443.99,1293.89,497.17,1271.57,470.58,0.3398
8,18,car,368.97,953.24,479.36,1079.13,424.16,1016.19,0.7622
8,46,car,828.61,370.01,873.86,429.97,851.23,399.99,0.4258
9,1,car,168.17,968.08,309.05,1077.3,238.61,1022.69,0.8534
9,2,bus,621.1,473.42,840.27,782.45,730.69,627.94,0.9457
9,3,car,240.87,587.73,403.83,718.83,322.35,653.28,0.9047
9,4,car,518.78,427.28,622.37,518.99,570.57,473.14,0.8505
9,5,car,530.87,800.89,715.59,1028.85,623.23,914.87,0.8883
9,6,car,1395.57,619.78,1507.74,738.27,1451.65,679.02,0.8412
9,7,car,672.73,365.59,756.33,449.58,714.53,407.59,0.8616
9,8,car,604.99,323.32,677.03,385.64,641.01,354.48,0.8083
9,9,car,570.42,520.58,676.65,635.38,623.53,577.98,0.8403
9,10,car,723.29,280.43,775.57,337.96,749.43,309.2,0.814
